word	score
bewildered	-0.3
bewildering	-0.3
bewilderingly	-0.3
bewilderment	-0.3
bewitch	-0.3
bias	-0.3
biased	-0.3
biases	-0.3
bicker	-0.3
bickering	-0.3
bid-rigging	-0.3
bigotries	-0.3
bigotry	-0.3
bitch	-0.3
bitchy	-0.3
biting	-0.3
bitingly	-0.3
bitter	-0.3
bitterly	-0.3
bitterness	-0.3
bizarre	-0.3
blab	-0.3
blabber	-0.3
blackmail	-0.3
blah	-0.3
blame	-0.3
blameworthy	-0.3
bland	-0.3
blandish	-0.3
blaspheme	-0.3
blasphemous	-0.3
blasphemy	-0.3
blasted	-0.3
blatant	-0.3
blatantly	-0.3
blather	-0.3
bleak	-0.3
bleakly	-0.3
bleakness	-0.3
bleed	-0.3
bleeding	-0.3
bleeds	-0.3
blemish	-0.3
blind	-0.3
blinding	-0.3
blindingly	-0.3
blindside	-0.3
blister	-0.3
blistering	-0.3
bloated	-0.3
blockage	-0.3
blockhead	-0.3
bloodshed	-0.3
bloodthirsty	-0.3
bloody	-0.3
blotchy	-0.3
blow	-0.3
blunder	-0.3
blundering	-0.3
blunders	-0.3
blunt	-0.3
blur	-0.3
bluring	-0.3
blurred	-0.3
blurring	-0.3
blurry	-0.3
blurs	-0.3
blurt	-0.3
boastful	-0.3
boggle	-0.3
bogus	-0.3
boil	-0.3
boiling	-0.3
boisterous	-0.3
bomb	-0.3
bombard	-0.3
bombardment	-0.3
bombastic	-0.3
bondage	-0.3
bonkers	-0.3
bore	-0.3
bored	-0.3
boredom	-0.3
bores	-0.3
boring	-0.3
botch	-0.3
bother	-0.3
bothered	-0.3
bothering	-0.3
bothers	-0.3
bothersome	-0.3
bowdlerize	-0.3
boycott	-0.3
braggart	-0.3
bragger	-0.3
brainless	-0.3
brainwash	-0.3
brash	-0.3
brashly	-0.3
brashness	-0.3
brat	-0.3
bravado	-0.3
brazen	-0.3
brazenly	-0.3
brazenness	-0.3
breach	-0.3
break	-0.3
break-up	-0.3
break-ups	-0.3
breakdown	-0.3
breaking	-0.3
breaks	-0.3
breakup	-0.3
breakups	-0.3
bribery	-0.3
brimstone	-0.3
bristle	-0.3
brittle	-0.3
broke	-0.3
broken	-0.3
broken-hearted	-0.3
brood	-0.3
browbeat	-0.3
bruise	-0.3
bruised	-0.3
bruises	-0.3
bruising	-0.3
brusque	-0.3
brutal	-0.3
brutalising	-0.3
brutalities	-0.3
brutality	-0.3
brutalize	-0.3
brutalizing	-0.3
brutally	-0.3
brute	-0.3
brutish	-0.3
bs	-0.3
buckle	-0.3
bug	-0.3
bugging	-0.3
buggy	-0.3
bugs	-0.3
bulkier	-0.3
bulkiness	-0.3
bulky	-0.3
bulkyness	-0.3
bull****	-0.3
bull----	-0.3
bullies	-0.3
bullshit	-0.3
bullshyt	-0.3
bully	-0.3
bullying	-0.3
bullyingly	-0.3
bum	-0.3
bump	-0.3
bumped	-0.3
bumping	-0.3
bumpping	-0.3
bumps	-0.3
bumpy	-0.3
bungle	-0.3
bungler	-0.3
bungling	-0.3
bunk	-0.3
burden	-0.3
burdensome	-0.3
burdensomely	-0.3
burn	-0.3
burned	-0.3
burning	-0.3
burns	-0.3
bust	-0.3
busts	-0.3
busybody	-0.3
butcher	-0.3
butchery	-0.3
buzzing	-0.3
byzantine	-0.3
cackle	-0.3
calamities	-0.3
calamitous	-0.3
calamitously	-0.3
calamity	-0.3
callous	-0.3
calumniate	-0.3
calumniation	-0.3
calumnies	-0.3
calumnious	-0.3
calumniously	-0.3
calumny	-0.3
cancer	-0.3
cancerous	-0.3
cannibal	-0.3
cannibalize	-0.3
capitulate	-0.3
capricious	-0.3
capriciously	-0.3
capriciousness	-0.3
capsize	-0.3
careless	-0.3
carelessness	-0.3
caricature	-0.3
carnage	-0.3
carp	-0.3
cartoonish	-0.3
cash-strapped	-0.3
castigate	-0.3
castrated	-0.3
casualty	-0.3
cataclysm	-0.3
cataclysmal	-0.3
cataclysmic	-0.3
cataclysmically	-0.3
catastrophe	-0.3
catastrophes	-0.3
catastrophic	-0.3
catastrophically	-0.3
catastrophies	-0.3
caustic	-0.3
caustically	-0.3
cautionary	-0.3
cave	-0.3
censure	-0.3
chafe	-0.3
chaff	-0.3
chagrin	-0.3
challenging	-0.3
chaos	-0.3
