word	score
comprehensive	0.3
conciliate	0.3
conciliatory	0.3
concise	0.3
confidence	0.3
confident	0.3
congenial	0.3
congratulate	0.3
congratulation	0.3
congratulations	0.3
congratulatory	0.3
conscientious	0.3
considerate	0.3
consistent	0.3
consistently	0.3
constructive	0.3
consummate	0.3
contentment	0.3
continuity	0.3
contrasty	0.3
contribution	0.3
convenience	0.3
convenient	0.3
conveniently	0.3
convience	0.3
convienient	0.3
convient	0.3
convincing	0.3
convincingly	0.3
cool	0.3
coolest	0.3
cooperative	0.3
cooperatively	0.3
cornerstone	0.3
correct	0.3
correctly	0.3
cost-effective	0.3
cost-saving	0.3
counter-attack	0.3
counter-attacks	0.3
courage	0.3
courageous	0.3
courageously	0.3
courageousness	0.3
courteous	0.3
courtly	0.3
covenant	0.3
cozy	0.3
creative	0.3
credence	0.3
credible	0.3
crisp	0.3
crisper	0.3
cure	0.3
cure-all	0.3
cushy	0.3
cute	0.3
cuteness	0.3
danke	0.3
danken	0.3
daring	0.3
daringly	0.3
darling	0.3
dashing	0.3
dauntless	0.3
dawn	0.3
dazzle	0.3
dazzled	0.3
dazzling	0.3
dead-cheap	0.3
dead-on	0.3
decency	0.3
decent	0.3
decisive	0.3
decisiveness	0.3
dedicated	0.3
defeat	0.3
defeated	0.3
defeating	0.3
defeats	0.3
defender	0.3
deference	0.3
deft	0.3
deginified	0.3
delectable	0.3
delicacy	0.3
delicate	0.3
delicious	0.3
delight	0.3
delighted	0.3
delightful	0.3
delightfully	0.3
delightfulness	0.3
dependable	0.3
dependably	0.3
deservedly	0.3
deserving	0.3
desirable	0.3
desiring	0.3
desirous	0.3
destiny	0.3
detachable	0.3
devout	0.3
dexterous	0.3
dexterously	0.3
dextrous	0.3
dignified	0.3
dignify	0.3
dignity	0.3
diligence	0.3
diligent	0.3
diligently	0.3
diplomatic	0.3
dirt-cheap	0.3
distinction	0.3
distinctive	0.3
distinguished	0.3
diversified	0.3
divine	0.3
divinely	0.3
dominate	0.3
dominated	0.3
dominates	0.3
dote	0.3
dotingly	0.3
doubtless	0.3
dreamland	0.3
dumbfounded	0.3
dumbfounding	0.3
dummy-proof	0.3
durable	0.3
dynamic	0.3
eager	0.3
eagerly	0.3
eagerness	0.3
earnest	0.3
earnestly	0.3
earnestness	0.3
ease	0.3
eased	0.3
eases	0.3
easier	0.3
easiest	0.3
easiness	0.3
easing	0.3
easy	0.3
easy-to-use	0.3
easygoing	0.3
ebullience	0.3
ebullient	0.3
ebulliently	0.3
ecenomical	0.3
economical	0.3
ecstasies	0.3
ecstasy	0.3
ecstatic	0.3
ecstatically	0.3
edify	0.3
educated	0.3
effective	0.3
effectively	0.3
effectiveness	0.3
effectual	0.3
efficacious	0.3
efficient	0.3
efficiently	0.3
effortless	0.3
effortlessly	0.3
effusion	0.3
effusive	0.3
effusively	0.3
effusiveness	0.3
elan	0.3
elate	0.3
elated	0.3
elatedly	0.3
elation	0.3
electrify	0.3
elegance	0.3
elegant	0.3
elegantly	0.3
elevate	0.3
elite	0.3
eloquence	0.3
eloquent	0.3
eloquently	0.3
embolden	0.3
eminence	0.3
eminent	0.3
empathize	0.3
empathy	0.3
empower	0.3
empowerment	0.3
enchant	0.3
enchanted	0.3
enchanting	0.3
enchantingly	0.3
encourage	0.3
encouragement	0.3
encouraging	0.3
encouragingly	0.3
endear	0.3
endearing	0.3
endorse	0.3
endorsed	0.3
endorsement	0.3
endorses	0.3
endorsing	0.3
energetic	0.3
energize	0.3
energy-efficient	0.3
energy-saving	0.3
engaging	0.3
engrossing	0.3
enhance	0.3
enhanced	0.3
enhancement	0.3
enhances	0.3
enjoy	0.3
enjoyable	0.3
enjoyably	0.3
enjoyed	0.3
enjoying	0.3
enjoyment	0.3
enjoys	0.3
enlighten	0.3
enlightenment	0.3
enliven	0.3
ennoble	0.3
enough	0.3
enrapt	0.3
enrapture	0.3
enraptured	0.3
enrich	0.3
enrichment	0.3
enterprising	0.3
entertain	0.3
entertaining	0.3
entertains	0.3
enthral	0.3
enthrall	0.3
enthralled	0.3
enthuse	0.3
enthusiasm	0.3
enthusiast	0.3
enthusiastic	0.3
enthusiastically	0.3
entice	0.3
enticed	0.3
enticing	0.3
enticingly	0.3
entranced	0.3
entrancing	0.3
entrust	0.3
enviable	0.3
enviably	0.3
envious	0.3
enviously	0.3
enviousness	0.3
envy	0.3
equitable	0.3
ergonomical	0.3
err-free	0.3
erudite	0.3
ethical	0.3
eulogize	0.3
euphoria	0.3
euphoric	0.3
euphorically	0.3
evaluative	0.3
evenly	0.3
eventful	0.3
everlasting	0.3
evocative	0.3
exalt	0.3
exaltation	0.3
exalted	0.3
exaltedly	0.3
exalting	0.3
exaltingly	0.3
examplar	0.3
examplary	0.3
excallent	0.3
exceed	0.3
exceeded	0.3
exceeding	0.3
exceedingly	0.3
exceeds	0.3
excel	0.3
exceled	0.3
excelent	0.3
excellant	0.3
excelled	0.3
excellence	0.3
excellency	0.3
excellent	0.3
excellently	0.3
excels	0.3
exceptional	0.3
exceptionally	0.3
excite	0.3
excited	0.3
excitedly	0.3
excitedness	0.3
excitement	0.3
excites	0.3
exciting	0.3
excitingly	0.3
exellent	0.3
exemplar	0.3
exemplary	0.3
exhilarate	0.3
exhilarating	0.3
exhilaratingly	0.3
exhilaration	0.3
exonerate	0.3
expansive	0.3
expeditiously	0.3
expertly	0.3
exquisite	0.3
exquisitely	0.3
extol	0.3
extoll	0.3
extraordinarily	0.3
extraordinary	0.3
exuberance	0.3
exuberant	0.3
exuberantly	0.3
exult	0.3
exultant	0.3
exultation	0.3
exultingly	0.3
eye-catch	0.3
eye-catching	0.3
eyecatch	0.3
eyecatching	0.3
fabulous	0.3
fabulously	0.3
facilitate	0.3
fair	0.3
fairly	0.3
fairness	0.3
faith	0.3
faithful	0.3
faithfully	0.3
faithfulness	0.3
fame	0.3
famed	0.3
famous	0.3
famously	0.3
fancier	0.3
fancinating	0.3
fancy	0.3
fanfare	0.3
fans	0.3
fantastic	0.3
fantastically	0.3
fascinate	0.3
fascinating	0.3
fascinatingly	0.3
fascination	0.3
fashionable	0.3
fashionably	0.3
fast	0.3
fast-growing	0.3
fast-paced	0.3
faster	0.3
fastest	0.3
fastest-growing	0.3
faultless	0.3
fav	0.3
fave	0.3
favor	0.3
favorable	0.3
favored	0.3
favorite	0.3
favorited	0.3
favour	0.3
fearless	0.3
fearlessly	0.3
feasible	0.3
feasibly	0.3
feat	0.3
feature-rich	0.3
fecilitous	0.3
feisty	0.3
felicitate	0.3
felicitous	0.3
felicity	0.3
fertile	0.3
fervent	0.3
fervently	0.3
fervid	0.3
fervidly	0.3
fervor	0.3
festive	0.3
fidelity	0.3
fiery	0.3
fine	0.3
fine-looking	0.3
finely	0.3
finer	0.3
finest	0.3
firmer	0.3
first-class	0.3
first-in-class	0.3
first-rate	0.3
flashy	0.3
flatter	0.3
flattering	0.3
flatteringly	0.3
flawless	0.3
flawlessly	0.3
flexibility	0.3
flexible	0.3
flourish	0.3
flourishing	0.3
fluent	0.3
flutter	0.3
fond	0.3
fondly	0.3
fondness	0.3
foolproof	0.3
foremost	0.3
foresight	0.3
formidable	0.3
fortitude	0.3
fortuitous	0.3
fortuitously	0.3
fortunate	0.3
fortunately	0.3
fortune	0.3
fragrant	0.3
free	0.3
freed	0.3
freedom	0.3
freedoms	0.3
fresh	0.3
fresher	0.3
freshest	0.3
friendliness	0.3
friendly	0.3
frolic	0.3
frugal	0.3
fruitful	0.3
ftw	0.3
fulfillment	0.3
fun	0.3
futurestic	0.3
futuristic	0.3
gaiety	0.3
gaily	0.3
gain	0.3
gained	0.3
gainful	0.3
gainfully	0.3
gaining	0.3
gains	0.3
gallant	0.3
gallantly	0.3
galore	0.3
geekier	0.3
geeky	0.3
gem	0.3
gems	0.3
generosity	0.3
generous	0.3
generously	0.3
genial	0.3
genius	0.3
gentle	0.3
gentlest	0.3
genuine	0.3
gifted	0.3
glad	0.3
gladden	0.3
gladly	0.3
gladness	0.3
glamorous	0.3
glee	0.3
gleeful	0.3
gleefully	0.3
glimmer	0.3
glimmering	0.3
glisten	0.3
glistening	0.3
glitter	0.3
glitz	0.3
glorify	0.3
glorious	0.3
gloriously	0.3
glory	0.3
glow	0.3
glowing	0.3
glowingly	0.3
god-given	0.3
god-send	0.3
godlike	0.3
godsend	0.3
gold	0.3
golden	0.3
good	0.3
goodly	0.3
goodness	0.3
goodwill	0.3
goood	0.3
gooood	0.3
gorgeous	0.3
gorgeously	0.3
grace	0.3
graceful	0.3
gracefully	0.3
gracious	0.3
graciously	0.3
graciousness	0.3
grand	0.3
grandeur	0.3
grateful	0.3
gratefully	0.3
gratification	0.3
gratified	0.3
gratifies	0.3
gratify	0.3
gratifying	0.3
gratifyingly	0.3
gratitude	0.3
great	0.3
greatest	0.3
greatness	0.3
grin	0.3
groundbreaking	0.3
guarantee	0.3
guidance	0.3
guiltless	0.3
gumption	0.3
gush	0.3
gusto	0.3
gutsy	0.3
hail	0.3
halcyon	0.3
hale	0.3
hallmark	0.3
hallmarks	0.3
hallowed	0.3
handier	0.3
handily	0.3
hands-down	0.3
handsome	0.3
handsomely	0.3
handy	0.3
happier	0.3
happily	0.3
happiness	0.3
happy	0.3
hard-working	0.3
hardier	0.3
hardy	0.3
harmless	0.3
harmonious	0.3
harmoniously	0.3
harmonize	0.3
harmony	0.3
headway	0.3
heal	0.3
healthful	0.3
healthy	0.3
hearten	0.3
heartening	0.3
heartfelt	0.3
heartily	0.3
heartwarming	0.3
heaven	0.3
heavenly	0.3
helped	0.3
helpful	0.3
helping	0.3
hero	0.3
heroic	0.3
heroically	0.3
heroine	0.3
heroize	0.3
heros	0.3
high-quality	0.3
high-spirited	0.3
hilarious	0.3
holy	0.3
homage	0.3
honest	0.3
honesty	0.3
honor	0.3
honorable	0.3
honored	0.3
honoring	0.3
hooray	0.3
hopeful	0.3
hospitable	0.3
hot	0.3
hotcake	0.3
hotcakes	0.3
hottest	0.3
hug	0.3
humane	0.3
humble	0.3
humility	0.3
humor	0.3
humorous	0.3
humorously	0.3
humour	0.3
humourous	0.3
ideal	0.3
idealize	0.3
ideally	0.3
idol	0.3
idolize	0.3
idolized	0.3
idyllic	0.3
illuminate	0.3
illuminati	0.3
illuminating	0.3
illumine	0.3
illustrious	0.3
ilu	0.3
imaculate	0.3
imaginative	0.3
immaculate	0.3
immaculately	0.3
immense	0.3
impartial	0.3
impartiality	0.3
impartially	0.3
impassioned	0.3
impeccable	0.3
impeccably	0.3
important	0.3
impress	0.3
impressed	0.3
impresses	0.3
impressive	0.3
impressively	0.3
